Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,15pF,C_0402,115.6,-92.5,0.0,top
C10,4.7uF,C_0402,122.75,-72.0,-90.0,top
C11,4.7uF,C_0402,119.75,-71.25,0.0,top
C12,4.7uF,C_0402,119.45,-70.25,0.0,top
C13,4.7uF,C_0402,109.35,-78.75,180.0,top
C14,100nF,C_0402,117.6,-87.75,-90.0,top
C15,100nF,C_0402,124.85,-78.5,0.0,top
C16,100nF,C_0402,110.0,-71.0,180.0,top
C17,100nF,C_0402,115.1,-69.5,90.0,top
C18,100nF,C_0402,124.1,-79.5,0.0,top
C19,100nF,C_0402,123.1,-83.25,0.0,top
C2,15pF,C_0402,117.85,-92.5,180.0,top
C20,100nF,C_0402,113.85,-86.0,-90.0,top
C21,100nF,C_0402,115.85,-87.75,-90.0,top
C22,100nF,C_0402,124.1,-74.25,0.0,top
C23,100nF,C_0402,124.1,-75.25,0.0,top
C24,100nF,C_0402,108.75,-81.0,180.0,top
C25,1uF,C_0402,113.9,-112.5,-90.0,top
C26,100nF,C_0402,112.8,-112.5,-90.0,top
C27,220pF,C_0603,122.0,-111.5,0.0,top
C28,220pF,C_0603,117.5,-111.5,180.0,top
C3,1uF,C_0402,133.25,-56.25,90.0,top
C34,100nF,C_0402,140.5,-92.4,0.0,top
C35,100nF,C_0402,142.75,-101.4,-90.0,top
C4,1uF,C_0402,133.25,-65.25,90.0,top
C45,2.2uF,C_0402,115.0,-63.75,-90.0,top
C5,10uF,C_0402,124.45,-50.65,180.0,top
C6,10uF,C_0402,132.25,-53.5,180.0,top
C7,100nF,C_0402,114.0,-57.5,-90.0,top
C8,1uF,C_0402,133.25,-74.25,90.0,top
C9,1uF,C_0402,133.275,-83.25,90.0,top
FB1,600,FB_0805,121.0,-108.5,-90.0,top
FB2,600,FB_0805,118.5,-108.5,-90.0,top
J1,"Connector, USB-TYPE-C-16P",TYPE-C-SMD_HX-TYPE-C-16PIN,117.25,-49.85,180.0,top
J10,DEBUG,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,126.2,-103.05,90.0,top
J11,Speaker,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,116.25,-119.9675,0.0,top
J12,Smart Led,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,149.9675,-101.0,90.0,top
J13,Qwiic1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,98.9375,-102.075,-90.0,top
J15,Qwiic0,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,98.875,-110.55,-90.0,top
J2,BTN1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,137.25,-59.0,90.0,top
J3,BTN2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,137.225,-68.0,90.0,top
J4,BTN3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,137.25,-77.0,90.0,top
J5,BTN4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,137.25,-86.0,90.0,top
J6,PWM1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,150.2375,-58.75,90.0,top
J7,PWM2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,150.2125,-67.75,90.0,top
J8,PWM3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,150.2375,-76.75,90.0,top
J9,PWM4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,150.2375,-85.75,90.0,top
L1,3.3u,L_pol_2016,119.75,-68.5,0.0,top
Q1,2N7002,Q_SOT-23,145.2375,-59.0,-90.0,top
Q2,2N7002,Q_SOT-23,145.2375,-68.5,-90.0,top
Q3,2N7002,Q_SOT-23,145.2375,-77.0,-90.0,top
Q4,2N7002,Q_SOT-23,145.2625,-86.0,-90.0,top
R1,33Ω,R_0402,116.35,-63.75,90.0,top
R10,10kΩ,R_0402,133.25,-70.25,90.0,top
R11,10kΩ,R_0402,133.25,-76.75,-90.0,top
R12,10kΩ,R_0402,133.275,-85.75,-90.0,top
R13,10kΩ,R_0402,133.25,-79.25,90.0,top
R14,10kΩ,R_0402,133.275,-88.25,90.0,top
R15,1kΩ,R_0402,121.6,-98.0,-90.0,top
R16,33Ω,R_0402,122.75,-70.0,-90.0,top
R17,1kΩ,R_0402,145.7375,-56.0,180.0,top
R18,1kΩ,R_0402,144.7375,-62.0,0.0,top
R19,1kΩ,R_0402,145.7375,-65.5,180.0,top
R2,33Ω,R_0402,117.85,-63.75,90.0,top
R20,1kΩ,R_0402,144.7375,-71.5,0.0,top
R21,1kΩ,R_0402,145.7375,-74.0,180.0,top
R22,1kΩ,R_0402,144.7375,-80.0,0.0,top
R23,1kΩ,R_0402,145.7375,-83.0,180.0,top
R24,1kΩ,R_0402,144.7625,-89.0,0.0,top
R27,5.1kΩ,R_0402,115.5,-54.5,-90.0,top
R28,5.1kΩ,R_0402,118.9,-54.5,-90.0,top
R29,10kΩ,R_0402,140.5,-99.9,0.0,top
R30,470Ω,R_0402,139.5,-115.5,-90.0,top
R31,10kΩ,R_0402,132.5,-110.75,90.0,top
R5,1kΩ,R_0402,117.35,-90.3,90.0,top
R6,1kΩ,R_0402,102.0,-57.5,0.0,top
R7,10kΩ,R_0402,133.25,-58.75,-90.0,top
R8,10kΩ,R_0402,133.25,-61.25,90.0,top
R9,10kΩ,R_0402,133.25,-67.75,-90.0,top
SW1,BOOT,SW_TS-1088-AR02016,100.25,-62.25,90.0,top
SW2,~{RESET},SW_TS-1088-AR02016,122.1,-94.0,90.0,top
U1,RP2350_80QFN,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,116.45,-79.05,0.0,top
U2,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,108.1625,-59.345,0.0,top
U5,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,127.2,-56.15,-90.0,top
U6,TXB0102DCT,TSSOP-8_3x3mm_P0.65mm,141.75,-96.15,-90.0,top
U8,APS6404L-3SQRx-SN,SOIC-8_3.9x4.9mm_P1.27mm,110.0,-66.5,0.0,top
U9,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,113.75,-108.75,0.0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,116.05,-95.3,0.0,top
